trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.996}",30,0,-24.44120366751052,"{0: 22, 1: 5, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.992016}",20,0,-171.72082842711356,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.988047936}",20,0,-102.22095091627699,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.984095744256}",30,0,-104.2344854084356,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.980159361278976}",20,0,-143.73673307760026,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9762387238338601}",20,0,-54.002794947968084,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9723337689385246}",30,3,-10.100872356977895,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9684444338627706}",25,0,-92.3412300254422,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9645706561273194}",25,0,-98.28400907051638,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9607123735028101}",25,0,-247.24569456943522,"{0: 11, 1: 3, 2: 5, 3: 2, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.9568695240087989}",20,0,-138.95277894106613,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9530420459127638}",20,0,-82.15532843684335,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9492298777291127}",20,4,-55.53040871951885,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9454329582181962}",25,3,-133.54742484814528,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.9416512263853234}",20,0,-148.43614187547627,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
