trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
234,False,"{'a': 0.5, 'e': 0.3914580164316689}",20,0,-88.80171766121299,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
235,False,"{'a': 0.5, 'e': 0.3898921843659422}",25,11,-54.07887202742933,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
236,False,"{'a': 0.5, 'e': 0.38833261562847843}",25,16,9.019265437014939,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.3867792851659645}",20,0,5.148531698876894,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.38523216802530064}",20,0,16.29922428465781,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
239,False,"{'a': 0.5, 'e': 0.38369123935319943}",20,9,16.783960483222128,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.38215647439578665}",20,0,29.366732904201296,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
241,False,"{'a': 0.5, 'e': 0.3806278484982035}",25,0,-160.41665026226207,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",1
242,False,"{'a': 0.5, 'e': 0.3791053371042107}",20,7,22.346126784731382,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.37758891575579384}",20,12,-27.679131493719918,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
244,False,"{'a': 0.5, 'e': 0.3760785600927707}",25,6,18.27694754778911,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.3745742458523996}",25,18,5.001458552129514,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.37307594886899}",30,0,-1.6424530457941018,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.37158364507351405}",25,0,-53.64379327928918,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
248,False,"{'a': 0.5, 'e': 0.37009731049322}",20,0,-13.487006033187035,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
249,False,"{'a': 0.5, 'e': 0.3686169212512471}",20,9,24.20724941567324,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.3671424535662421}",35,17,11.723149907546823,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.3656738837519771}",25,7,-67.88670485181711,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 2}",1
252,False,"{'a': 0.5, 'e': 0.36421118821696924}",20,3,-18.692970880461917,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
253,False,"{'a': 0.5, 'e': 0.36275434346410135}",20,0,-13.795304082122177,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
254,False,"{'a': 0.5, 'e': 0.36130332609024496}",25,13,-43.66441356971301,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
255,False,"{'a': 0.5, 'e': 0.359858112785884}",25,10,-4.92185092523124,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
